Date Recorded,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Longitude,Latitude
2021-04-14,2020,Ansonia,323 BEAVER ST,133000.0,248400.0,0.5354,Residential,Single Family,-73.06822,41.35014
2021-05-26,2020,Ansonia,152 JACKSON ST,110500.0,239900.0,0.4606,Residential,Three Family,Unknown,Unknown
2021-09-13,2020,Ansonia,230 WAKELEE AVE,150500.0,325000.0,0.463,Commercial,Unknown,Unknown,Unknown
2020-12-14,2020,Ansonia,57 PLATT ST,127400.0,202500.0,0.6291,Residential,Two Family,Unknown,Unknown
2021-09-07,2020,Avon,245 NEW ROAD,217640.0,400000.0,0.5441,Residential,Single Family,Unknown,Unknown
2020-12-15,2020,Avon,63 NORTHGATE,528490.0,775000.0,0.6819,Residential,Single Family,-72.89675,41.79445
2021-06-01,2020,Barkhamsted,46 RATLUM MTN RD,203530.0,415000.0,0.490433735,Residential,Single Family,Unknown,Unknown
2021-01-25,2020,Beacon Falls,34 LASKY ROAD,158030.0,243000.0,0.6503,Residential,Single Family,Unknown,Unknown
2020-11-13,2020,Beacon Falls,9 AVON COURT,65590.0,100000.0,0.6559,Residential,Condo,Unknown,Unknown
2021-08-10,2020,Berlin,94 PERCIVAL AVE,140600.0,190790.0,0.7369,Residential,Single Family,Unknown,Unknown
2021-04-21,2020,Bethel,16 OXFORD STREET,170800.0,307000.0,0.5563,Residential,Single Family,Unknown,Unknown
2021-06-17,2020,Bethel,1308 LEXINGTON BOULEVARD,195300.0,365000.0,0.535,Residential,Condo,Unknown,Unknown
2021-07-21,2020,Bethel,10 CASTLE HILL ROAD,219870.0,325000.0,0.6765,Residential,Single Family,Unknown,Unknown
2020-11-25,2020,Bethel,8 BLACKMAN AVENUE,264040.0,445000.0,0.5933,Residential,Two Family,Unknown,Unknown
2020-10-21,2020,Bethlehem,34 HIGHLAND ROAD,82000.0,106000.0,0.7735,Residential,Single Family,Unknown,Unknown
2021-05-10,2020,Bolton,39 STONEHEDGE LN,189400.0,273750.0,0.6918,Residential,Single Family,Unknown,Unknown
2021-02-22,2020,Branford,49 ROSE ST TOWERS UNIT 402,97800.0,147000.0,0.6653,Residential,Condo,Unknown,Unknown
2021-04-08,2020,Branford,460 MAIN ST,180500.0,355000.0,0.5084,Residential,Two Family,Unknown,Unknown
2021-04-23,2020,Branford,24 COLLINS DR,147000.0,290000.0,0.5068,Residential,Single Family,Unknown,Unknown
2021-05-18,2020,Branford,61 PALMER RD,219900.0,460000.0,0.478,Residential,Single Family,Unknown,Unknown
2020-12-11,2020,Branford,3 GROVE CT,43400.0,86501.0,0.5017,Residential,Condo,Unknown,Unknown
2020-12-18,2020,Branford,69 CHURCH ST,200900.0,320000.0,0.6278,Residential,Two Family,Unknown,Unknown
2021-09-22,2020,Bristol,118 MOODY ST,117950.0,240000.0,0.4914,Residential,Single Family,Unknown,Unknown
2021-09-23,2020,Bristol,103 BUTTERNUT LN,61950.0,129900.0,0.4769,Residential,Condo,Unknown,Unknown
2021-01-15,2020,Bristol,MILL POND DR LOT 50,47530.0,100000.0,0.4753,Vacant Land,Unknown,Unknown,Unknown
2021-01-06,2020,Bristol,WILDEWOOD RUN LOT 50,47530.0,44900.0,1.0585,Vacant Land,Unknown,Unknown,Unknown
2020-11-18,2020,Bristol,14 CREST DR,150290.0,276000.0,0.5445,Residential,Single Family,Unknown,Unknown
2020-11-23,2020,Bristol,BROAD PLACE LOTS 225-6 AND 224,8400.0,38500.0,0.2181,Vacant Land,Unknown,-72.90406,41.66996
2021-03-19,2020,Bristol,50 ROSEMONT AVE,87500.0,175000.0,0.5,Residential,Single Family,Unknown,Unknown
2021-07-13,2020,Bristol,17 LINCOLN ST,102270.0,190000.0,0.5382,Residential,Two Family,Unknown,Unknown
2021-07-22,2020,Bristol,28 HULL ST,130690.0,190000.0,0.6878,Residential,Three Family,Unknown,Unknown
2020-11-04,2020,Brookfield,101 OBTUSE RD SOUTH,378680.0,537000.0,0.705176909,Residential,Single Family,Unknown,Unknown
2021-02-02,2020,Burlington,57 ROCK RD,194670.0,275000.0,0.7078,Residential,Single Family,Unknown,Unknown
